Processing example number: 1, Real Label = 90-150, Prediction: 90-157
Processing example number: 482, Real Label = 101-140, Prediction: 99-154
Processing example number: 483, Real Label = 96-150, Prediction: 95-154
Processing example number: 484, Real Label = 119-172, Prediction: 117-170
Processing example number: 485, Real Label = 130-166, Prediction: 129-160
Processing example number: 486, Real Label = 109-161, Prediction: 95-159
Processing example number: 487, Real Label = 90-118, Prediction: 83-124
Processing example number: 488, Real Label = 103-141, Prediction: 94-134
Processing example number: 489, Real Label = 91-132, Prediction: 92-130
Processing example number: 490, Real Label = 86-127, Prediction: 85-120
Processing example number: 491, Real Label = 110-165, Prediction: 109-168
Processing example number: 492, Real Label = 88-116, Prediction: 87-119
Processing example number: 493, Real Label = 88-140, Prediction: 88-140
Processing example number: 494, Real Label = 92-114, Prediction: 87-114
Processing example number: 495, Real Label = 93-116, Prediction: 92-110
Processing example number: 496, Real Label = 88-112, Prediction: 86-112
Processing example number: 497, Real Label = 98-120, Prediction: 97-119
Processing example number: 498, Real Label = 124-147, Prediction: 124-141
Processing example number: 499, Real Label = 96-131, Prediction: 95-131
==============================================================
Total files predicted: 499
Cumulative task loss: 6.849699398797595
